archive_date,market_open,market_high,market_low,market_close,market_volume,market_ticker,macro_open,macro_high,macro_low,macro_close,indicators_rsi,indicators_sma,indicators_ema
2025-12-29,151.0,151.6365,150.085,150.99,5589133.0,CVX,0.849,0.8511,0.8482,0.8494,60.779,117.4545,117.4605
2025-12-30,73.6,73.945,73.575,73.83,3483060.0,SHEL,0.8497,0.8515,0.8488,0.8511,62.0208,117.6489,117.8211
2025-12-30,70.28,70.325,69.65,69.74,2324200.0,USO,0.8497,0.8515,0.8488,0.8511,62.0208,117.6489,117.8211
2025-12-30,121.1,121.796,120.63,120.99,11150486.0,XOM,0.8497,0.8515,0.8488,0.8511,62.0208,117.6489,117.8211
2025-12-30,44.8,45.0884,44.8,44.96,18654743.0,XLE,0.8497,0.8515,0.8488,0.8511,62.0208,117.6489,117.8211
2025-12-30,151.5,152.6707,151.47,152.31,5150514.0,CVX,0.8497,0.8515,0.8488,0.8511,62.0208,117.6489,117.8211
2025-12-30,34.65,34.86,34.64,34.75,5379134.0,BP,0.8497,0.8515,0.8488,0.8511,62.0208,117.6489,117.8211
2025-12-31,44.93,45.02,44.57,44.71,16965922.0,XLE,0.8511,0.8532,0.8503,0.8514,59.17,117.7057,118.0474
2025-12-31,121.18,121.26,119.865,120.34,10559866.0,XOM,0.8511,0.8532,0.8503,0.8514,59.17,117.7057,118.0474
2025-12-31,70.2,70.26,68.85,69.16,2218718.0,USO,0.8511,0.8532,0.8503,0.8514,59.17,117.7057,118.0474
2025-12-31,152.39,152.55,151.67,152.41,4953110.0,CVX,0.8511,0.8532,0.8503,0.8514,59.17,117.7057,118.0474
2025-12-31,34.84,34.84,34.555,34.73,4010948.0,BP,0.8511,0.8532,0.8503,0.8514,59.17,117.7057,118.0474
2025-12-31,73.81,73.855,73.18,73.48,1638425.0,SHEL,0.8511,0.8532,0.8503,0.8514,59.17,117.7057,118.0474
2026-01-02,35.1,35.85,35.05,35.83,7571439.0,BP,0.851,0.8537,0.8499,0.8532,65.2781,117.9263,118.5495
2026-01-02,152.165,155.9,151.25,155.9,6862097.0,CVX,0.851,0.8537,0.8499,0.8532,65.2781,117.9263,118.5495
2026-01-02,74.04,75.555,73.91,75.44,5611422.0,SHEL,0.851,0.8537,0.8499,0.8532,65.2781,117.9263,118.5495
2026-01-02,44.72,45.7799,44.49,45.65,31935524.0,XLE,0.851,0.8537,0.8499,0.8532,65.2781,117.9263,118.5495
2026-01-02,68.43,69.145,68.15,68.96,5012274.0,USO,0.851,0.8537,0.8499,0.8532,65.2781,117.9263,118.5495
2026-01-02,120.09,122.68,119.6067,122.65,14175055.0,XOM,0.851,0.8537,0.8499,0.8532,65.2781,117.9263,118.5495
2026-01-05,165.75,165.75,159.3098,163.85,35094878.0,CVX,0.8527,0.8576,0.8525,0.853,70.7975,118.3902,119.3436
2026-01-05,69.73,70.4,69.23,70.22,4987089.0,USO,0.8527,0.8576,0.8525,0.853,70.7975,118.3902,119.3436
2026-01-05,47.16,47.32,45.75,46.89,94961037.0,XLE,0.8527,0.8576,0.8525,0.853,70.7975,118.3902,119.3436
2026-01-05,125.21,125.93,122.39,125.36,30112238.0,XOM,0.8527,0.8576,0.8525,0.853,70.7975,118.3902,119.3436
2026-01-05,75.15,75.47,73.45,75.03,6526263.0,SHEL,0.8527,0.8576,0.8525,0.853,70.7975,118.3902,119.3436
2026-01-05,35.56,36.225,34.63,36.12,16043829.0,BP,0.8527,0.8576,0.8525,0.853,70.7975,118.3902,119.3436
2026-01-06,125.35,125.8,121.0,121.05,23328636.0,XOM,0.853,0.8558,0.8514,0.8554,55.6472,118.6236,119.461
2026-01-06,70.6,70.74,68.46,68.51,5432884.0,USO,0.853,0.8558,0.8514,0.8554,55.6472,118.6236,119.461
2026-01-06,75.16,75.33,72.83,72.9,6524139.0,SHEL,0.853,0.8558,0.8514,0.8554,55.6472,118.6236,119.461
2026-01-06,35.31,35.48,34.34,34.36,16254992.0,BP,0.853,0.8558,0.8514,0.8554,55.6472,118.6236,119.461
2026-01-06,164.88,165.05,156.11,156.54,20564935.0,CVX,0.853,0.8558,0.8514,0.8554,55.6472,118.6236,119.461
2026-01-06,46.995,47.06,45.5313,45.64,69568225.0,XLE,0.853,0.8558,0.8514,0.8554,55.6472,118.6236,119.461
2026-01-07,68.24,68.3103,67.345,67.79,5317458.0,USO,0.8555,0.8566,0.8544,0.8565,48.9471,118.8939,119.2237
2026-01-07,33.65,33.93,33.58,33.67,12192066.0,BP,0.8555,0.8566,0.8544,0.8565,48.9471,118.8939,119.2237
2026-01-07,71.52,72.04,71.26,71.54,4923343.0,SHEL,0.8555,0.8566,0.8544,0.8565,48.9471,118.8939,119.2237
2026-01-07,45.82,45.82,45.08,45.13,42739166.0,XLE,0.8555,0.8566,0.8544,0.8565,48.9471,118.8939,119.2237
2026-01-07,157.44,158.005,154.9,155.2,13537874.0,CVX,0.8555,0.8566,0.8544,0.8565,48.9471,118.8939,119.2237
2026-01-07,119.8,120.12,118.274,118.49,20352950.0,XOM,0.8555,0.8566,0.8544,0.8565,48.9471,118.8939,119.2237
2026-01-08,118.98,123.625,118.655,122.91,20232721.0,XOM,0.8565,0.8589,0.8558,0.8576,58.2858,119.2841,119.6034
2026-01-08,155.5,160.44,155.21,159.25,12929635.0,CVX,0.8565,0.8589,0.8558,0.8576,58.2858,119.2841,119.6034
2026-01-08,68.79,70.65,68.39,70.54,6558609.0,USO,0.8565,0.8589,0.8558,0.8576,58.2858,119.2841,119.6034
2026-01-08,69.845,70.53,68.625,70.31,13092927.0,SHEL,0.8565,0.8589,0.8558,0.8576,58.2858,119.2841,119.6034
2026-01-08,33.57,34.205,33.4,34.13,11671361.0,BP,0.8565,0.8589,0.8558,0.8576,58.2858,119.2841,119.6034
2026-01-08,45.32,46.85,45.22,46.55,51451021.0,XLE,0.8565,0.8589,0.8558,0.8576,58.2858,119.2841,119.6034
2026-01-09,160.56,162.7,159.935,162.11,12549643.0,CVX,0.8575,0.8607,0.8573,0.8592,61.2237,119.8566,120.1576
2026-01-09,70.88,71.94,70.77,70.78,5925122.0,USO,0.8575,0.8607,0.8573,0.8592,61.2237,119.8566,120.1576
2026-01-09,46.75,46.88,46.505,46.67,38839945.0,XLE,0.8575,0.8607,0.8573,0.8592,61.2237,119.8566,120.1576
2026-01-09,70.87,71.475,70.6,70.83,5603032.0,SHEL,0.8575,0.8607,0.8573,0.8592,61.2237,119.8566,120.1576
