,rsi,sma,ema
2001-11-05,43.8367,18.3078,18.2412
2001-11-06,44.4377,18.2439,18.1961
2001-11-07,43.4365,18.2086,18.1473
2001-11-08,46.842,18.1825,18.1306
2001-11-09,52.3581,18.162,18.1617
2001-11-12,50.9167,18.1433,18.1771
2001-11-13,54.0702,18.1718,18.2172
2001-11-14,42.1419,18.1189,18.1425
2001-11-15,35.1387,18.0006,17.9859
2001-11-16,37.7221,17.9061,17.8715
2001-11-19,35.4214,17.8337,17.74
2001-11-20,42.2236,17.7927,17.6839
2001-11-21,41.8241,17.7154,17.6304
2001-11-23,45.6974,17.6799,17.6181
2001-11-26,42.087,17.6346,17.5667
2001-11-27,39.9558,17.5731,17.4966
2001-11-28,38.6997,17.5086,17.4206
2001-11-29,41.4738,17.4417,17.3761
2001-11-30,41.1871,17.3489,17.3344
2001-12-03,43.3794,17.2707,17.3142
2001-12-04,48.5435,17.1993,17.3361
2001-12-05,52.6241,17.2052,17.3898
2001-12-06,42.7062,17.2097,17.3421
2001-12-07,47.7675,17.227,17.3457
2001-12-10,44.7743,17.2446,17.3173
2001-12-11,40.8513,17.2071,17.2476
2001-12-12,45.1199,17.1921,17.2243
2001-12-13,40.1116,17.1269,17.1445
2001-12-14,43.0302,17.0973,17.1008
2001-12-17,47.0652,17.1012,17.1002
2001-12-18,47.5895,17.1159,17.1044
2001-12-19,52.6408,17.1452,17.1568
2001-12-20,52.3015,17.1745,17.1991
2001-12-21,53.5901,17.2019,17.248
2001-12-24,56.7367,17.2244,17.3207
2001-12-26,60.222,17.2478,17.4203
2001-12-27,61.2856,17.328,17.5182
2001-12-28,61.1929,17.3837,17.6023
2001-12-31,56.7534,17.4408,17.6461
2002-01-02,58.7669,17.5317,17.7023
2002-01-03,59.1762,17.6047,17.7546
2002-01-04,61.5083,17.7207,17.8207
2002-01-07,57.845,17.8116,17.8566
2002-01-08,58.2278,17.8843,17.8908
2002-01-09,53.422,17.9394,17.8925
2002-01-10,54.734,17.9733,17.903
2002-01-11,46.3856,17.9798,17.858
2002-01-14,47.736,17.9844,17.8276
2002-01-15,53.6616,17.9941,17.8413
2002-01-16,46.7436,17.9583,17.8045
2002-01-17,48.0068,17.9208,17.7812
2002-01-18,45.9928,17.8758,17.7464
2002-01-22,42.9222,17.8341,17.6931
2002-01-23,51.0691,17.8113,17.7004
2002-01-24,50.1923,17.7833,17.7007
2002-01-25,53.3005,17.7559,17.7228
2002-01-28,51.3821,17.7334,17.7298
2002-01-29,42.9711,17.6764,17.6745
2002-01-30,49.4945,17.6585,17.6715
2002-01-31,52.35,17.6474,17.6908
2002-02-01,51.911,17.6637,17.7046
2002-02-04,46.4569,17.6542,17.6769
2002-02-05,46.2957,17.6226,17.6517
2002-02-06,51.6274,17.6363,17.6658
2002-02-07,48.2196,17.6327,17.6543
2002-02-08,48.1313,17.6366,17.6436
2002-02-11,50.193,17.6598,17.6473
2002-02-12,49.1903,17.651,17.6444
2002-02-13,51.6849,17.6534,17.6565
2002-02-14,55.2351,17.6558,17.689
2002-02-15,54.0471,17.6615,17.7111
2002-02-19,52.4672,17.6958,17.7223
2002-02-20,54.8714,17.7132,17.7455
2002-02-21,56.5911,17.7241,17.7753
2002-02-22,69.0528,17.7881,17.8973
2002-02-25,70.6699,17.8825,18.0201
2002-02-26,66.9049,17.9684,18.1094
2002-02-27,68.2078,18.0415,18.1991
2002-02-28,70.5779,18.1399,18.3
2002-03-01,74.3686,18.2615,18.4304
2002-03-04,77.2939,18.3976,18.5831
2002-03-05,75.162,18.532,18.7063
2002-03-06,78.2237,18.6818,18.8565
2002-03-07,73.8078,18.8094,18.9671
2002-03-08,73.9069,18.9408,19.0642
2002-03-11,76.6655,19.0956,19.1838
2002-03-12,78.789,19.2598,19.3187
2002-03-13,67.3928,19.39,19.3818
2002-03-14,68.071,19.4726,19.4438
2002-03-15,70.1337,19.5582,19.5201
2002-03-18,70.8463,19.6572,19.5943
2002-03-19,71.188,19.7516,19.6622
2002-03-20,67.3618,19.8247,19.7045
2002-03-21,67.3618,19.8749,19.7412
